Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal,ttm_eps_recent,ttm_eps_prev,yoy_growth_pct,quarters_used,gap_market_v2,gap_sector_v2,gap_market_delta,gap_sector_delta,signal_v2,debt_ratio,updated_at
005930,삼성전자,KOSPI,1180375801646800,00126380,4950.0,4950.0,300870903000000.0,114308635000000.0,32725961000000.0,34451351000000.0,514531948000000.0,227062266000000.0,93326299000000.0,112339878000000.0,402192070000000.0,2024.0,CFS,IT/전자,232500,46.96969696969697,49.58172043001552,181931.97773586246,0.2779501596885547,245429.51612857683,-0.05268117841948255,⚠️ 주의,10336.0,8784.0,17.7,8.0,0.2534,-0.0527,-0.0,-0.0124,중립,27.9,2026-05-05
000660,SK하이닉스,KOSPI,717691281555000,00164779,28732.0,28419.0,66192960000000.0,31828146000000.0,23467319000000.0,19796902000000.0,119855209000000.0,42278887000000.0,24965444000000.0,45939505000000.0,73915704000000.0,2024.0,CFS,IT/전자,1447000,50.361965752471114,49.58172043001552,1056014.0574357172,0.3702469108353544,1424581.991395206,0.01573655201329501,⚠️ 주의,,,,,0.3702,0.0157,-0.0,-0.0,매도,62.2,2026-05-05
005380,현대차,KOSPI,105859765022000,00164742,47369.0,47369.0,175231153000000.0,35749207000000.0,14239592000000.0,13229908000000.0,339798429000000.0,115764287000000.0,79509643000000.0,219522496000000.0,120275933000000.0,2024.0,CFS,자동차/부품,539000,11.378749815280035,8.907349059168595,1740997.1420949632,-0.6904073033965956,421932.2175837572,0.277456372226432,⚠️ 주의,68361.0,86605.0,-21.1,8.0,-0.6904,0.2775,-0.0,0.0,매수,182.5,2026-05-05
402340,SK스퀘어,KOSPI,80308965920000,01596425,27772.0,27716.0,1906611000000.0,,3912583000000.0,3650515000000.0,21921051000000.0,2702773000000.0,1396345000000.0,21921051000000.0,19585415000000.0,2024.0,CFS,지주,991000,35.68342215180758,32.079537469693484,1020730.2799354286,-0.029126479854511004,890912.9146083274,0.11234216470604638,🔥 강력,108574.0,44400.0,144.5,8.0,-0.0291,0.0562,-0.2345,-0.098,중립,111.9,2026-05-05
207940,삼성바이오로직스,KOSPI,74111812551000,00877059,15221.0,15221.0,4547322176421.0,2290844589981.0,1320052380133.0,1083315885986.0,17336296349511.0,5518117814577.0,3853188425809.0,6431620287493.0,10904676062018.0,2024.0,CFS,바이오/제약,1485000,97.56257801721306,54.85615313959736,559431.643054053,1.6544798072076834,834965.5069378114,0.7785165826144762,— 고평가,41997.0,25925.0,62.0,8.0,1.1416,0.5372,0.0,0.0,강력매도,59.0,2026-05-05
012450,한화에어로스페이스,KOSPI,68063689320000,00126566,45935.0,45935.0,,2869853204579.0,1731878825342.0,2539873460538.0,,22867968340831.0,25516144577239.0,,,2024.0,CFS,방산/중공업,1465000,31.892892130183956,50.81070889894419,1688291.9994539074,-0.13225911129480747,2333989.9132730016,-0.3723194810445429,🔥 강력,45313.0,54785.0,-17.3,8.0,-0.1323,-0.3723,-0.0,-0.0,매수,,2026-05-05
000270,기아,KOSPI,65784590163000,00106641,24893.0,,107448752000000.0,24770771000000.0,12667139000000.0,9775005000000.0,92755874000000.0,41797457000000.0,26977376000000.0,36915565000000.0,55840309000000.0,2024.0,CFS,자동차/부품,154000,6.18647812638091,8.907349059168595,914915.7013694594,-0.8316784816683215,221730.64012988383,-0.30546360255041455,🔥 강력,34930.0,45348.0,-23.0,8.0,-0.8317,-0.3055,0.0,-0.0,강력매수,66.1,2026-05-05
329180,HD현대중공업,KOSPI,58673324775000,01390344,7001.0,,14486453544000.0,1493930874000.0,705223483000.0,621509420000.0,19390946750000.0,10403121877000.0,11796215796000.0,13686498249000.0,5704448501000.0,2024.0,CFS,방산/중공업,680000,97.12898157406084,50.81070889894419,257314.29820783294,1.6426825276952293,355725.77300150826,0.9115848544297543,— 고평가,26133.0,9872.0,164.7,8.0,0.8213,0.4558,-0.0,-0.0,강력매도,239.9,2026-05-05
068270,셀트리온,KOSPI,46671748722000,00413046,2048.0,2045.0,,1681713270596.0,492015534847.0,418883310404.0,21055222437706.0,5584129149603.0,3187120605915.0,3475160069015.0,17580062368691.0,2024.0,CFS,바이오/제약,197800,96.58203125,54.85615313959736,75272.05866728208,1.6278011190622077,112345.4016298954,0.7606417096769266,— 고평가,6986.0,2949.0,136.9,8.0,0.8139,0.3803,-0.0,-0.0,강력매도,19.8,2026-05-05
055550,신한지주,KOSPI,46468661941900,00382199,8441.0,8441.0,,,6458670000000.0,4558170000000.0,739764256000000.0,,,739764256000000.0,,2024.0,CFS,지주,98000,11.609998815306243,32.079537469693484,310239.96445826563,-0.6841154872773226,270783.3757816827,-0.6380870881859017,🔥 강력,18640.0,,,5.0,-0.6841,-0.6381,0.0,-0.0,강력매수,,2026-05-05
012330,현대모비스,KOSPI,36338399491500,00164788,44939.0,,57236995000000.0,8062628000000.0,3073456000000.0,4060161000000.0,66596905000000.0,28424073000000.0,12745182000000.0,66596905000000.0,46118232000000.0,2024.0,CFS,자동차/부품,431500,9.60190480429026,8.907349059168595,1651685.080297358,-0.7387516511789792,400287.3593699775,0.07797558403829909,⚠️ 주의,73137.0,75728.0,-3.4,8.0,-0.7388,0.078,0.0,-0.0,강력매수,144.4,2026-05-05
009150,삼성전기,KOSPI,34695221792000,00126371,8988.0,8988.0,10294102976435.0,1959222801014.0,735005856995.0,703215637082.0,12792402920884.0,5891746488305.0,3056860858021.0,3776548889114.0,9015854031770.0,2024.0,CFS,IT/전자,918000,102.13618157543391,49.58172043001552,330344.36684645084,1.7789182808335902,445640.5032249795,1.0599563849261522,— 고평가,15742.0,15217.0,3.5,8.0,1.7478,1.0414,-0.0,0.0,강력매도,41.9,2026-05-05
267260,HD현대일렉트릭,KOSPI,34569202465000,01205851,13935.0,,3322349007529.0,1044565282142.0,668970713547.0,498409535389.0,3795545096460.0,2763740978393.0,2001078594202.0,3795545096460.0,1507517124598.0,2024.0,CFS,방산/중공업,1299000,93.21851453175458,50.81070889894419,512166.0827776249,1.5362866532573711,708047.2285067873,0.8346233806175372,— 고평가,33901.0,24279.0,39.6,8.0,1.2321,0.6694,-0.0,-0.0,강력매도,251.8,2026-05-05
010130,고려아연,KOSPI,33125401803000,00102858,9488.0,,12052918410249.0,1140795311524.0,723472208523.0,194781564506.0,14792322181548.0,7567074179254.0,6366334342627.0,14792322181548.0,7595427776993.0,2024.0,CFS,소재/철강,1629000,171.69055649241147,88.2262996941896,348721.33429451776,3.6713517063576155,837091.131498471,0.9460246784408508,— 고평가,73710.0,31039.0,137.5,8.0,1.8357,0.473,-0.0,0.0,강력매도,194.8,2026-05-05
006400,삼성SDI,KOSPI,32274504765000,00126362,8188.0,9011.0,16592248884388.0,3093563995780.0,363304463263.0,575512415979.0,40597344536357.0,10334312926481.0,10855694147360.0,19030107423830.0,21567237112527.0,2024.0,CFS,에너지/화학,705000,86.10161211529066,20.297029702970296,300941.2189295438,1.3426501776915254,166192.0792079208,3.242079426167979,— 고평가,,,,,1.3427,3.2421,0.0,-0.0,강력매도,88.2,2026-05-05
015760,한국전력,KOSPI,31552534384550,00159193,5439.0,5439.0,93398896000000.0,11434736000000.0,8364710000000.0,3621968000000.0,246807795000000.0,29255205000000.0,63968789000000.0,246807795000000.0,41362833000000.0,2024.0,CFS,에너지/화학,44500,8.181651038793897,20.297029702970296,199904.65190007188,-0.777393874644575,110395.54455445544,-0.59690402199113,🔥 강력,24559.0,9296.0,164.2,8.0,-0.7774,-0.5969,-1.3308,-0.5401,강력매수,596.7,2026-05-05
042700,한미반도체,KOSPI,29499125900000,00161383,1589.0,1584.0,558917191547.0,314522196913.0,255391604854.0,152614498001.0,710872366678.0,407791209288.0,160040613379.0,710872366678.0,540887863389.0,2024.0,CFS,IT/전자,378000,237.88546255506608,49.58172043001552,58402.002549956655,5.472380800241592,78785.35376329467,3.7978460709293222,— 고평가,,,,,5.4724,3.7978,0.0,0.0,강력매도,131.4,2026-05-05
009540,HD한국조선해양,KOSPI,28627725422000,00164830,16578.0,,25538577356000.0,2595367428000.0,1434090492000.0,1454580111000.0,36719137422000.0,20431356435000.0,19325058391000.0,22563324218000.0,14155813204000.0,2024.0,CFS,방산/중공업,469500,28.32066594281578,50.81070889894419,609306.7327081066,-0.22945213831254707,842339.9321266968,-0.44262407361523226,🔥 강력,51667.0,25517.0,102.5,8.0,-0.2295,-0.4426,-0.1874,-0.2733,강력매수,159.4,2026-05-05
010120,LS ELECTRIC,KOSPI,26580000000000,00105855,8078.0,8078.0,,907590799908.0,389717122317.0,242237998768.0,4485197464384.0,3052191652183.0,1846349798510.0,2595105380936.0,1890092083448.0,2024.0,CFS,소재/철강,294000,36.39514731369151,88.2262996941896,296898.28609096905,-0.009761882189111124,712692.0489296636,-0.5874796127702904,— 고평가,13738.0,,,5.0,-0.0098,-0.5875,-0.0,0.0,매수,137.3,2026-05-05
272210,한화시스템,KOSPI,25693036904000,00339391,2591.0,2589.0,2803686058274.0,415792516415.0,219345297682.0,445378843124.0,5724010115718.0,2286147317733.0,2677051475212.0,5724010115718.0,2416416895456.0,2024.0,CFS,IT/전자,119700,46.19837900424547,49.58172043001552,95229.44531588275,0.2569641627434319,128466.23763417022,-0.06823767703957824,— 고평가,2430.0,3078.0,-21.1,8.0,0.257,-0.0682,0.0,0.0,중립,236.9,2026-05-05
298040,효성중공업,KOSPI,25502638780000,01316245,23909.0,,4894979612220.0,791772345743.0,362479487133.0,222929444192.0,6218812921202.0,3036422654447.0,3092775159627.0,4163194426688.0,2055618494514.0,2024.0,CFS,소재/철강,4228000,176.83717428583378,88.2262996941896,878749.8294316637,3.8113807347586994,2109402.599388379,1.0043589598428995,— 고평가,92870.0,38039.0,144.1,8.0,1.9057,0.5022,0.0,-0.0,강력매도,202.5,2026-05-05
267250,HD현대,KOSPI,20972664067500,01205709,7203.0,,67765626088000.0,6426904974000.0,2983162778000.0,1930179481000.0,73866670219000.0,35592849734000.0,32333112202000.0,73866670219000.0,26385102145000.0,2024.0,CFS,방산/중공업,302500,41.996390392891854,50.81070889894419,264738.59305685194,0.1426365778677342,365989.536199095,-0.1734736376849782,— 고평가,20911.0,11538.0,81.2,8.0,0.0847,-0.1735,-0.0,0.0,중립,280.0,2026-05-05
011200,HMM,KOSPI,20043806862500,00164645,4999.0,3690.0,11700224000000.0,3963464000000.0,3512847000000.0,3782129000000.0,33848562000000.0,17996844000000.0,2357189000000.0,5993018000000.0,27855544000000.0,2024.0,CFS,운송/물류,21150,4.230846169233847,9.807635770617068,183732.920545773,-0.8848872595222752,49028.37121731472,-0.5686171195397426,🔥 강력,3553.0,8915.0,-60.1,8.0,-0.8849,-0.5686,-0.0,0.0,강력매수,21.5,2026-05-05
064350,현대로템,KOSPI,19656526969300,00302926,3728.0,,4376597857000.0,829047638000.0,,405259414000.0,5285394740000.0,3686316730000.0,3019853718000.0,3276309551000.0,2009085189000.0,2024.0,CFS,자동차/부품,269000,72.15665236051503,8.907349059168595,137018.66929278692,0.9632361151106361,33206.597292580525,7.100799899184602,— 고평가,12072.0,,,7.0,0.9632,7.1008,-0.0,-0.0,강력매도,163.1,2026-05-05
