Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal,ttm_eps_recent,ttm_eps_prev,yoy_growth_pct,quarters_used,gap_market_v2,gap_sector_v2,gap_market_delta,gap_sector_delta,signal_v2,debt_ratio,updated_at
005850,에스엘,KOSPI,2930901612000,00125521,7998.0,7998.0,4973273970111.0,688696386608.0,395164287548.0,381963573388.0,3698864220516.0,2346052089698.0,1142207374201.0,1301616145058.0,2397248075458.0,2024.0,CFS,자동차/부품,68400,8.552138034508626,11.563725618424789,309995.41670497064,-0.7793515764618618,92486.67749616146,-0.2604340230208956,🔥 강력,11906.0,,,7.0,-0.7794,-0.2604,-0.0,0.0,강력매수,54.3,2026-05-13
383220,F&F,KOSPI,2401853602500,01568413,9504.0,,,1246992536124.0,450737459737.0,355959818501.0,2285904738684.0,636793849985.0,522109298846.0,2285904738684.0,1577298222080.0,2024.0,CFS,유통/소비재,82200,8.6489898989899,22.649020873681945,368366.64670718194,-0.7768527614137076,215256.2943834732,-0.618129633628446,🔥 강력,17104.0,,,7.0,-0.7769,-0.6181,0.0,0.0,강력매수,144.9,2026-05-13
462870,시프트업,KOSPI,1790174719000,01384787,2734.0,2659.0,,,152676273166.0,147973272692.0,803831909889.0,768171881980.0,28585967115.0,803831909889.0,764404135605.0,2024.0,OFS,엔터/미디어,29825,10.908924652523774,23.04441272075863,105967.42551530254,-0.7185455827112358,63003.42437855409,-0.526613032637759,🔥 강력,5578.0,,,6.0,-0.7185,-0.5266,0.0,0.0,강력매수,105.2,2026-05-13
055550,신한지주,KOSPI,46468661941900,00382199,8441.0,8441.0,,,6458670000000.0,4558170000000.0,739764256000000.0,,,739764256000000.0,,2024.0,CFS,지주,96000,11.373060063973464,33.923535135534024,327165.70547720144,-0.7065707120494945,286348.5600790427,-0.6647442544376668,🔥 강력,18640.0,,,5.0,-0.7066,-0.6647,0.0,-0.0,강력매수,,2026-05-13
078930,GS,KOSPI,6411161082000,00500254,5988.0,,25297467000000.0,6191104000000.0,3060163000000.0,863517000000.0,35063398000000.0,5706980000000.0,6060442000000.0,35063398000000.0,18470356000000.0,2024.0,CFS,지주,73500,12.274549098196394,33.923535135534024,232089.59180162093,-0.6833119510898865,203134.12839157775,-0.6381701067074487,🔥 강력,14313.0,11839.0,20.9,8.0,-0.6833,-0.6382,-0.1864,-0.1323,강력매수,189.8,2026-05-13
018670,SK가스,KOSPI,2403763440000,00144164,19926.0,19841.0,7095902060317.0,607792768526.0,287176575159.0,177768044603.0,7539621970135.0,2608910830555.0,2021018622987.0,4801285742388.0,2738336227747.0,2024.0,CFS,에너지/화학,268000,13.449764127270903,15.870704717530577,772314.1626985803,-0.6529909550492143,316239.6622015143,-0.15254146765049037,🔥 강력,54108.0,34680.0,56.0,8.0,-0.653,-0.1525,-0.4412,-0.1297,강력매수,175.3,2026-05-13
004370,농심,KOSPI,2314445281000,00108241,27202.0,26747.0,3937893872782.0,965542188520.0,163073931930.0,157630314203.0,3597461570702.0,1743739590775.0,678174791731.0,924886441245.0,2672575129457.0,2024.0,CFS,유통/소비재,366500,13.473274023968825,22.649020873681945,1054325.4970253326,-0.6523843907464623,616098.6658058963,-0.40512774926951894,🔥 강력,53412.0,50127.0,6.6,8.0,-0.6524,-0.4051,-0.0425,-0.016,강력매수,34.6,2026-05-13
033780,KT&G,KOSPI,18061571587500,00244455,11383.0,11383.0,,2902024000000.0,1188814000000.0,1164999000000.0,13925237000000.0,7176310000000.0,3142888000000.0,4566772000000.0,9358465000000.0,2024.0,CFS,IT/전자,177300,15.575858736712641,51.35024949511329,441195.0273009103,-0.5981369031181867,584519.8900028745,-0.6966741371296569,🔥 강력,17816.0,,,5.0,-0.5981,-0.6967,0.0,0.0,강력매수,48.8,2026-05-13
032640,LG유플러스,KOSPI,6799884576100,00231363,871.0,871.0,,,863130000000.0,314602000000.0,19707730000000.0,5263896000000.0,5116288000000.0,10939351000000.0,8768379000000.0,2024.0,CFS,IT/전자,15400,17.680826636050515,51.35024949511329,33759.19079145154,-0.5438279283667081,44726.06731024368,-0.6556817774033776,🔥 강력,2233.0,1877.0,19.0,8.0,-0.5438,-0.6557,-0.0755,-0.1419,강력매수,124.8,2026-05-13
018260,삼성에스디에스,KOSPI,12581630280000,00126186,9787.0,9787.0,13828232033800.0,2012332154316.0,911096907001.0,789501325293.0,13238330251696.0,9003786950710.0,2495408581399.0,3532880772221.0,9705449479475.0,2024.0,CFS,IT/전자,175500,17.931950546643506,51.35024949511329,379335.4767806386,-0.5373488356811725,502564.89180867374,-0.6507913647362125,🔥 강력,17282.0,17119.0,1.0,8.0,-0.5373,-0.6508,-0.0048,-0.0086,강력매수,36.4,2026-05-13
