Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector
105560,KB금융,KOSPI,57866390616000,688996,12880.0,12726.0,,,10089547000000.0,5028606000000.0,757845532000000.0,,,698030351000000.0,59815181000000.0,2024.0,CFS,금융
032830,삼성생명,KOSPI,46300000000000,126256,11732.0,11732.0,,,153416000000.0,2260255000000.0,312218844000000.0,,,312218844000000.0,32737931000000.0,2024.0,CFS,금융
006800,미래에셋증권,KOSPI,37594920821600,111722,,,,,1188076348199.0,925470295452.0,137176998056307.0,,,124913289504539.0,12263708551768.0,2024.0,CFS,금융
086790,하나금융지주,KOSPI,31506482144800,547583,12629.0,12629.0,,,11212804000000.0,3768529000000.0,637847513000000.0,43676000000.0,,594270586000000.0,43576927000000.0,2024.0,CFS,금융
316140,우리금융지주,KOSPI,24885187248000,1350869,,3950.0,,,4255190000000.0,3171469000000.0,525753320000000.0,,,525753320000000.0,35895269000000.0,2024.0,CFS,금융
000810,삼성화재,KOSPI,21832293047500,139214,48779.0,48779.0,,,48779.0,2076797712983.0,87269492540789.0,,,87269492540789.0,15602214746140.0,2024.0,CFS,금융
024110,기업은행,KOSPI,19217963442900,149646,3106.0,3106.0,,,7474961000000.0,2654338000000.0,472219838000000.0,,,437988747000000.0,34231091000000.0,2024.0,CFS,금융
138040,메리츠금융지주,KOSPI,18607040157300,860332,12259.0,12238.0,,,2333433638351.0,2333433638351.0,115578247112858.0,1350716000.0,,115578247112858.0,10930036028008.0,2024.0,CFS,금융
071050,한국금융지주,KOSPI,13067745124000,432102,,,,,1199724124887.0,1045868641939.0,109220199166181.0,,,99485650231644.0,9734548934537.0,2024.0,CFS,금융
005830,DB손해보험,KOSPI,12953992800000,159102,30838.0,,,,2424925603957.0,1853216681744.0,66506135383633.0,,,66506135383633.0,9391221934664.0,2024.0,CFS,금융
005940,NH투자증권,KOSPI,12685859536400,120182,,,,,901069000000.0,686638000000.0,62427065000000.0,,,62427065000000.0,8119369000000.0,2024.0,CFS,금융
039490,키움증권,KOSPI,12485143693500,296290,29370.0,29370.0,,,,,,23283474367.0,,,,2024.0,CFS,금융
016360,삼성증권,KOSPI,9135390000000,104856,,,,,1205750469446.0,899037889864.0,62273916116630.0,,,62273916116630.0,7324213114450.0,2024.0,CFS,금융
029780,삼성카드,KOSPI,6916775792700,126292,6228.0,6228.0,,,885421436897.0,664593152937.0,29494082851904.0,,,29494082851904.0,8486180934765.0,2024.0,CFS,금융
138930,BNK금융지주,KOSPI,5849664572050,858364,2174.0,2174.0,,,875919821432.0,749976302023.0,152470490926534.0,,,152470490926534.0,11147574546601.0,2024.0,CFS,금융
175330,JB금융지주,KOSPI,5826448424800,980122,3439.0,3439.0,,,906079000000.0,692991000000.0,66721914000000.0,,,66721914000000.0,5724805000000.0,2024.0,CFS,금융
088980,맥쿼리인프라,KOSPI,5512392139430,435297,,,,,,,,,,,,,,금융
088350,한화생명,KOSPI,4542411900000,113058,936.0,936.0,,,1096965243506.0,866000982115.0,160146430758072.0,,,145868430021357.0,14278000736715.0,2024.0,CFS,금융
031210,서울보증보험,KOSPI,3889063008600,112998,,,,,,,,,,,,,,금융
001720,신영증권,KOSPI,3435960000000,136721,,17868.0,,,170377256793.0,149387962241.0,10609935089040.0,,,8921462823065.0,1688472265975.0,2024.0,CFS,금융
085620,미래에셋생명,KOSPI,3046448612690,112332,1043.0,1043.0,,,122130494168.0,136114870311.0,32493623714996.0,,,32493623714996.0,2563654662740.0,2024.0,CFS,금융
001450,현대해상,KOSPI,2798220000000,164973,10847.0,10847.0,,,-437998695525.0,850533055882.0,48523790593883.0,15599437173.0,,48523790593883.0,4743378657629.0,2024.0,CFS,금융
139130,iM금융지주,KOSPI,2769167810920,878915,1121.0,1121.0,,,263433380414.0,201560238160.0,94148635110781.0,,,87942881715123.0,6205753395658.0,2024.0,CFS,금융
279570,케이뱅크,KOSPI,2677587996600,1203312,341.0,,,,132967000000.0,128053000000.0,31183399000000.0,,,31183399000000.0,1995845000000.0,2024.0,OFS,금융
003690,코리안리,KOSPI,2565792978270,113191,1556.0,1556.0,,,405432507241.0,316671748113.0,13160392022865.0,,,13160392022865.0,3452869465595.0,2024.0,CFS,금융
003540,대신증권,KOSPI,2048706690000,110893,,,,,83593035000.0,144182139000.0,26396108665000.0,149250600000.0,15000000000.0,23080719628000.0,3315389037000.0,2024.0,CFS,금융
003530,한화투자증권,KOSPI,1699218378000,148610,,,,,3966004857.0,,14018124416878.0,,,14018124416878.0,1706230048195.0,2024.0,CFS,금융
