Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group
034730,SK,KOSPI,26100973080000,181712,-23455.0,-23525.0,124690439000000.0,10691527000000.0,2355290000000.0,,214977754000000.0,67462864000000.0,71532821000000.0,134690218000000.0,80287536000000.0,2024.0,CFS,지주,343500.0,-14.645065018119803,적자
051910,LG화학,KOSPI,21883626330000,356361,-8826.0,-8826.0,,7536390000000.0,916798000000.0,515011000000.0,,27815627000000.0,21085717000000.0,,47995463000000.0,2024.0,CFS,에너지/화학,314000.0,-35.57670518921368,적자
096770,SK이노베이션,KOSPI,19255112553200,631518,-21541.0,-21541.0,74716970174000.0,4039022327000.0,315488338000.0,-2372482956000.0,110530097549000.0,36318431920000.0,37725576071000.0,70881188555000.0,39648908994000.0,2024.0,CFS,에너지/화학,110100.0,-5.111183324822432,적자
000150,두산,KOSPI,19205888310000,117212,-12665.0,-12665.0,,2962142000000.0,1003759000000.0,302227000000.0,30143063000000.0,11912646000000.0,11024159000000.0,30143063000000.0,11889482000000.0,2024.0,CFS,지주,1151000.0,-90.88037899723648,적자
000720,현대건설,KOSPI,18262345460000,164478,-1501.0,,32670268000000.0,-216933000000.0,-1263420000000.0,-766221000000.0,27005385000000.0,21100663000000.0,14663775000000.0,27005385000000.0,9669413000000.0,2024.0,CFS,건설/부동산,149900.0,-99.86675549633577,적자
003670,포스코퓨처엠,KOSPI,17718087024000,155276,-2752.0,-2752.0,3699944235821.0,235943884898.0,721245866.0,-231338259262.0,7932459834018.0,2112748442946.0,1570069945473.0,7932459834018.0,3320505865578.0,2024.0,CFS,에너지/화학,196400.0,-71.36627906976744,적자
010950,S-Oil,KOSPI,12586756145600,138279,-1659.0,-1659.0,36637031000000.0,1225859000000.0,422177000000.0,-193042000000.0,24451433000000.0,10048039000000.0,11656683000000.0,15755786000000.0,8695647000000.0,2024.0,CFS,에너지/화학,108400.0,-65.34056660638939,적자
009830,한화솔루션,KOSPI,8886844111200,162461,-6613.0,-6613.0,12394023649010.0,1385855326596.0,-300237959946.0,,30036831374114.0,10882665025254.0,11707552341331.0,19429975219652.0,10606856154462.0,2024.0,CFS,에너지/화학,45000.0,-6.804778466656585,적자
034220,LG디스플레이,KOSPI,6015000000000,105873,-5438.0,-5438.0,,2575419000000.0,,,32859566000000.0,10123037000000.0,15859084000000.0,32859566000000.0,8072807000000.0,2024.0,CFS,IT/전자,11450.0,-2.1055535123207063,적자
066970,엘앤에프,KOSPI,4520069520200,398701,-11266.0,-12595.0,1907478512809.0,-463475192763.0,-558685355192.0,-380729239417.0,2799831517733.0,1089837750806.0,1552202559623.0,2799831517733.0,,2024.0,CFS,에너지/화학,125000.0,-11.095331084679566,적자
018880,한온시스템,KOSPI,4248726965280,161125,-659.0,-659.0,9998723268169.0,812183664052.0,95537353794.0,-358595798106.0,10620252377496.0,4439022125072.0,5033806802743.0,10620252377496.0,2998738468366.0,2024.0,CFS,IT/전자,3930.0,-5.963581183611533,적자
