Code,Name,Market,Marcap,corp_code,stock_code
005930,삼성전자,KOSPI,1180375801646800,00126380,005930
000660,SK하이닉스,KOSPI,717691281555000,00164779,000660
005380,현대차,KOSPI,105859765022000,00164742,005380
373220,LG에너지솔루션,KOSPI,87867000000000,01515323,373220
402340,SK스퀘어,KOSPI,80308965920000,01596425,402340
207940,삼성바이오로직스,KOSPI,74111812551000,00877059,207940
034020,두산에너빌리티,KOSPI,70205501601600,00159616,034020
012450,한화에어로스페이스,KOSPI,68063689320000,00126566,012450
000270,기아,KOSPI,65784590163000,00106641,000270
329180,HD현대중공업,KOSPI,58673324775000,01390344,329180
105560,KB금융,KOSPI,57866390616000,00688996,105560
028260,삼성물산,KOSPI,50568021840000,00149655,028260
068270,셀트리온,KOSPI,46671748722000,00413046,068270
055550,신한지주,KOSPI,46468661941900,00382199,055550
032830,삼성생명,KOSPI,46300000000000,00126256,032830
042660,한화오션,KOSPI,39557969165400,00111704,042660
006800,미래에셋증권,KOSPI,37594920821600,00111722,006800
012330,현대모비스,KOSPI,36338399491500,00164788,012330
035420,NAVER,KOSPI,34742859317000,00266961,035420
009150,삼성전기,KOSPI,34695221792000,00126371,009150
267260,HD현대일렉트릭,KOSPI,34569202465000,01205851,267260
010130,고려아연,KOSPI,33125401803000,00102858,010130
006400,삼성SDI,KOSPI,32274504765000,00126362,006400
015760,한국전력,KOSPI,31552534384550,00159193,015760
086790,하나금융지주,KOSPI,31506482144800,00547583,086790
042700,한미반도체,KOSPI,29499125900000,00161383,042700
009540,HD한국조선해양,KOSPI,28627725422000,00164830,009540
005490,POSCO홀딩스,KOSPI,27800469012000,00155319,005490
010120,LS ELECTRIC,KOSPI,26580000000000,00105855,010120
034730,SK,KOSPI,26100973080000,00181712,034730
272210,한화시스템,KOSPI,25693036904000,00339391,272210
298040,효성중공업,KOSPI,25502638780000,01316245,298040
010140,삼성중공업,KOSPI,25124000000000,00126478,010140
316140,우리금융지주,KOSPI,24885187248000,01350869,316140
035720,카카오,KOSPI,22138321400000,00258801,035720
051910,LG화학,KOSPI,21883626330000,00356361,051910
000810,삼성화재,KOSPI,21832293047500,00139214,000810
267250,HD현대,KOSPI,20972664067500,01205709,267250
011200,HMM,KOSPI,20043806862500,00164645,011200
064350,현대로템,KOSPI,19656526969300,00302926,064350
096770,SK이노베이션,KOSPI,19255112553200,00631518,096770
024110,기업은행,KOSPI,19217963442900,00149646,024110
000150,두산,KOSPI,19205888310000,00117212,000150
066570,LG전자,KOSPI,19204305027300,00401731,066570
138040,메리츠금융지주,KOSPI,18607040157300,00860332,138040
000720,현대건설,KOSPI,18262345460000,00164478,000720
047810,한국항공우주,KOSPI,18101127369900,00309503,047810
033780,KT&G,KOSPI,18061571587500,00244455,033780
003670,포스코퓨처엠,KOSPI,17718087024000,00155276,003670
086280,현대글로비스,KOSPI,17287500000000,00360595,086280
017670,SK텔레콤,KOSPI,16925456176400,00159023,017670
030200,KT,KOSPI,15297716279500,00190321,030200
352820,하이브,KOSPI,14815339024000,01204056,352820
003550,LG,KOSPI,14728161367500,00120021,003550
079550,LIG넥스원,KOSPI,14542000000000,00503668,079550
0126Z0,삼성에피스홀딩스,KOSPI,13735443048000,01965324,0126Z0
047050,포스코인터내셔널,KOSPI,13546054676000,00124504,047050
278470,에이피알,KOSPI,13459016722500,01190568,278470
071050,한국금융지주,KOSPI,13067745124000,00432102,071050
005830,DB손해보험,KOSPI,12953992800000,00159102,005830
005940,NH투자증권,KOSPI,12685859536400,00120182,005940
010950,S-Oil,KOSPI,12586756145600,00138279,010950
018260,삼성에스디에스,KOSPI,12581630280000,00126186,018260
039490,키움증권,KOSPI,12485143693500,00296290,039490
323410,카카오뱅크,KOSPI,11973802818700,01133217,323410
307950,현대오토에버,KOSPI,11806024251000,00362441,307950
259960,크래프톤,KOSPI,11163781180500,00760971,259960
003490,대한항공,KOSPI,9702614417350,00113526,003490
006260,LS,KOSPI,9469200000000,00105952,006260
007660,이수페타시스,KOSPI,9308288969200,00107613,007660
016360,삼성증권,KOSPI,9135390000000,00104856,016360
000880,한화,KOSPI,9047519314500,00160588,000880
009830,한화솔루션,KOSPI,8886844111200,00162461,009830
377300,카카오페이,KOSPI,8694919017800,01244601,377300
180640,한진칼,KOSPI,8679096270000,00983040,180640
003230,삼양식품,KOSPI,8670500265000,00126955,003230
090430,아모레퍼시픽,KOSPI,8235780467200,00583424,090430
443060,HD현대마린솔루션,KOSPI,8190684904500,01194689,443060
000100,유한양행,KOSPI,7988654380300,00145109,000100
047040,대우건설,KOSPI,7942548612180,00124540,047040
326030,SK바이오팜,KOSPI,7721686450000,00878696,326030
128940,한미약품,KOSPI,7174154960000,00828497,128940
161390,한국타이어앤테크놀로지,KOSPI,7110428960600,00937324,161390
011070,LG이노텍,KOSPI,7005463672000,00105961,011070
028050,삼성E&A,KOSPI,6918800000000,00126308,028050
029780,삼성카드,KOSPI,6916775792700,00126292,029780
032640,LG유플러스,KOSPI,6799884576100,00231363,032640
052690,한전기술,KOSPI,6707610000000,00159209,052690
064400,LG씨엔에스,KOSPI,6549490084800,00139834,064400
078930,GS,KOSPI,6411161082000,00500254,078930
267270,HD건설기계,KOSPI,6380557694000,01205842,267270
241560,두산밥캣,KOSPI,6048517701500,01032486,241560
001040,CJ,KOSPI,6039638586000,00148540,001040
034220,LG디스플레이,KOSPI,6015000000000,00105873,034220
138930,BNK금융지주,KOSPI,5849664572050,00858364,138930
175330,JB금융지주,KOSPI,5826448424800,00980122,175330
454910,두산로보틱스,KOSPI,5788424214000,01105153,454910
001440,대한전선,KOSPI,5723932110000,00113207,001440
088980,맥쿼리인프라,KOSPI,5512392139430,00435297,088980
271560,오리온,KOSPI,5448078989600,01238169,271560
021240,코웨이,KOSPI,5265096494400,00170558,021240
004020,현대제철,KOSPI,4997544648250,00145880,004020
022100,포스코DX,KOSPI,4925925219600,00155212,022100
