Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal,ttm_eps_recent,ttm_eps_prev,yoy_growth_pct,quarters_used,gap_market_v2,gap_sector_v2,gap_market_delta,gap_sector_delta,signal_v2,debt_ratio,updated_at
005930,삼성전자,KOSPI,1180375801646800,00126380,4950.0,4950.0,300870903000000.0,114308635000000.0,32725961000000.0,34451351000000.0,514531948000000.0,227062266000000.0,93326299000000.0,112339878000000.0,402192070000000.0,2024.0,CFS,IT/전자,259250,52.37373737373738,38.754661910167016,146502.63157894736,0.7695927861902967,191835.57645532672,0.3514177338235917,⚠️ 주의,10336.0,8784.0,17.7,8.0,0.7015,0.3203,-0.0,-0.0124,강력매도,27.9,2026-09-01
000660,SK하이닉스,KOSPI,717691281555000,00164779,28732.0,28419.0,66192960000000.0,31828146000000.0,23467319000000.0,19796902000000.0,119855209000000.0,42278887000000.0,24965444000000.0,45939505000000.0,73915704000000.0,2024.0,CFS,IT/전자,1685000,58.64541278017541,38.754661910167016,850366.3859649122,0.9814988313396554,1113498.9460029188,0.5132479523654467,⚠️ 주의,,,,,0.9815,0.5132,-0.0,-0.0,강력매도,62.2,2026-09-01
005380,현대차,KOSPI,105859765022000,00164742,47369.0,47369.0,175231153000000.0,35749207000000.0,14239592000000.0,13229908000000.0,339798429000000.0,115764287000000.0,79509643000000.0,219522496000000.0,120275933000000.0,2024.0,CFS,자동차/부품,398500,8.41267495619498,7.931024074047345,1401956.1929824562,-0.7157543138689307,375684.6793635487,0.060729973538188924,⚠️ 주의,68361.0,86605.0,-21.1,8.0,-0.7158,0.0607,-0.0,0.0,강력매수,182.5,2026-09-01
402340,SK스퀘어,KOSPI,80308965920000,01596425,27772.0,27716.0,1906611000000.0,,3912583000000.0,3650515000000.0,21921051000000.0,2702773000000.0,1396345000000.0,21921051000000.0,19585415000000.0,2024.0,CFS,지주,1042000,37.519804119256804,33.43880114219721,821953.754385965,0.26771122394643615,928662.3853211008,0.12204393810966163,🔥 강력,108574.0,44400.0,144.5,8.0,0.1339,0.061,-0.2345,-0.098,중립,111.9,2026-09-01
207940,삼성바이오로직스,KOSPI,74111812551000,00877059,15221.0,15221.0,4547322176421.0,2290844589981.0,1320052380133.0,1083315885986.0,17336296349511.0,5518117814577.0,3853188425809.0,6431620287493.0,10904676062018.0,2024.0,CFS,바이오/제약,1501000,98.61375730898101,51.61247387743508,450488.1929824561,2.331940821939489,785593.4648884393,0.9106574419036878,— 고평가,41997.0,25925.0,62.0,8.0,1.609,0.6284,0.0,0.0,강력매도,59.0,2026-09-01
012450,한화에어로스페이스,KOSPI,68063689320000,00126566,45935.0,45935.0,,2869853204579.0,1731878825342.0,2539873460538.0,,22867968340831.0,25516144577239.0,,,2024.0,CFS,방산/중공업,1058000,23.032545988897354,38.178733031674206,1359514.8245614034,-0.2217811965814171,1753740.1018099547,-0.3967179065426589,🔥 강력,45313.0,54785.0,-17.3,8.0,-0.2218,-0.3967,-0.0,-0.0,강력매수,,2026-09-01
000270,기아,KOSPI,65784590163000,00106641,24893.0,,107448752000000.0,24770771000000.0,12667139000000.0,9775005000000.0,92755874000000.0,41797457000000.0,26977376000000.0,36915565000000.0,55840309000000.0,2024.0,CFS,자동차/부품,131000,5.262523601012333,7.931024074047345,736745.4561403509,-0.8221909630956118,197426.98227526055,-0.33646354469747913,🔥 강력,34930.0,45348.0,-23.0,8.0,-0.8222,-0.3365,0.0,-0.0,강력매수,66.1,2026-09-01
329180,HD현대중공업,KOSPI,58673324775000,01390344,7001.0,,14486453544000.0,1493930874000.0,705223483000.0,621509420000.0,19390946750000.0,10403121877000.0,11796215796000.0,13686498249000.0,5704448501000.0,2024.0,CFS,방산/중공업,441500,63.062419654335095,38.178733031674206,207205.0350877193,1.1307397275027269,267289.3099547511,0.6517682659091031,— 고평가,26133.0,9872.0,164.7,8.0,0.5654,0.3259,-0.0,-0.0,강력매도,239.9,2026-09-01
068270,셀트리온,KOSPI,46671748722000,00413046,2048.0,2045.0,,1681713270596.0,492015534847.0,418883310404.0,21055222437706.0,5584129149603.0,3187120605915.0,3475160069015.0,17580062368691.0,2024.0,CFS,바이오/제약,189200,92.3828125,51.61247387743508,60613.61403508772,2.121410973621814,105702.34650098704,0.7899318819590563,— 고평가,6986.0,2949.0,136.9,8.0,1.0607,0.395,-0.0,-0.0,강력매도,19.8,2026-09-01
055550,신한지주,KOSPI,46468661941900,00382199,8441.0,8441.0,,,6458670000000.0,4558170000000.0,739764256000000.0,,,739764256000000.0,,2024.0,CFS,지주,111300,13.185641511669234,33.43880114219721,249823.98245614034,-0.5544863271101681,282256.92044128664,-0.6056784016987391,🔥 강력,18640.0,,,5.0,-0.5545,-0.6057,0.0,-0.0,강력매수,,2026-09-01
012330,현대모비스,KOSPI,36338399491500,00164788,44939.0,,57236995000000.0,8062628000000.0,3073456000000.0,4060161000000.0,66596905000000.0,28424073000000.0,12745182000000.0,66596905000000.0,46118232000000.0,2024.0,CFS,자동차/부품,440000,9.791050090122166,7.931024074047345,1330036.7192982456,-0.6691820657160857,356412.29086361366,0.23452532720980826,⚠️ 주의,73137.0,75728.0,-3.4,8.0,-0.6692,0.2345,0.0,-0.0,매수,144.4,2026-09-01
